3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
3C3HMPtm_f, 3c3hmp_7 --> 3c3hmp_m_7
PYK, pep_2 --> pyr_2
PYRt2m_b, pyr_m_1_2 --> pyr_1_2
PYRt2m_b, pyr_m_1_2_3 --> pyr_1_2_3
PYK, pep_3 --> pyr_3
PYRDC, pyr_2_3 --> acald_1_2
PYRt2m_b, pyr_m_1 --> pyr_1
PYRDC, pyr_3 --> acald_2
PYRDC, pyr_1 --> co2_1
PYK, pep_2_3 --> pyr_2_3
PYRt2m_b, pyr_m_2 --> pyr_2
PYRDC, pyr_2 --> acald_1
IPPMIa_b, 2ippm_7 --> 3c2hmp_7
IPPMIb_f, 2ippm_7 --> 3c3hmp_7
IPPS, 3mob_1_2_3_4 + accoa_1_2 --> 3c3hmp_1_2_3_4_5_6
IPPMIb_b, 3c3hmp_7 --> 2ippm_7
IPPMIa_f, 3c2hmp_7 --> 2ippm_7
IPPMIb_b, 3c3hmp_1_2_3_4_5_6 --> 2ippm_1_2_3_4_5_6
IPPMIa_f, 3c2hmp_1_2_3_4_5_6 --> 2ippm_1_2_3_4_5_6
IPPMIb_f, 2ippm_1_2_3_4_5_6 --> 3c3hmp_1_2_3_4_5_6
IPMD, 3c2hmp_7 --> 3c4mop_7
IPMD, 3c2hmp_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
IPPMIa_b, 2ippm_1_2_3_4_5_6 --> 3c2hmp_1_2_3_4_5_6
ILETA_f, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
ILETA_f, akg_3 --> glu-L_3
ILETA_f, akg_2 --> glu-L_2
ILETA_f, akg_2_3 --> glu-L_2_3
ILETA_f, akg_2_3_4_5 --> glu-L_2_3_4_5
ILETA_f, akg_1 --> glu-L_1
ILETA_b, glu-L_4 --> akg_4
ILETA_b, glu-L_4_5 --> akg_4_5
ILETA_b, glu-L_3_4_5 --> akg_3_4_5
ILETA_b, glu-L_5 --> akg_5
ILETA_f, akg_2_3_4 --> glu-L_2_3_4
ILETA_f, akg_5 --> glu-L_5
ILETAm_b, 3mop_m_1_2_3_4_5_6 --> ile-L_m_1_2_3_4_5_6
ILETA_f, ile-L_1_2_3_4_5_6 --> 3mop_1_2_3_4_5_6
ILETAm_b, glu-L_m_1 --> akg_m_1
ILETA_f, akg_4 --> glu-L_4
ILETA_f, akg_4_5 --> glu-L_4_5
ILETA_f, akg_3_4_5 --> glu-L_3_4_5
ILETAm_b, glu-L_m_2 --> akg_m_2
ILETAm_b, glu-L_m_1_2_3_4_5 --> akg_m_1_2_3_4_5
ILETA_f, akg_3_4 --> glu-L_3_4
PRPPS_f, r5p_3_4_5 --> prpp_3_4_5
PRPPS_f, r5p_1_2 --> prpp_1_2
PRPPS_b, prpp_5 --> r5p_5
PRPPS_f, r5p_2 --> prpp_2
PRPPS_f, r5p_3_4 --> prpp_3_4
PRPPS_b, prpp_4 --> r5p_4
PRPPS_f, r5p_3 --> prpp_3
PRPPS_f, r5p_4 --> prpp_4
PRPPS_f, r5p_1 --> prpp_1
PRPPS_f, r5p_2_3_4_5 --> prpp_2_3_4_5
PRPPS_b, prpp_4_5 --> r5p_4_5
LEUTAm_f, akg_m_3_4 --> glu-L_m_3_4
